"region","mean","std"
"Right-Accumbens-Area",0.0335656411371893,0.0067606259805202
"Left-Accumbens-Area",0.0407478796327669,0.00696103625042732
"Right-Amygdala",0.0848915113682417,0.00877130913852873
"Left-Amygdala",0.0887491424971578,0.0100684647903384
"Brain-Stem",1.49794695441091,0.15577573551017
"Right-Caudate",0.267106852704606,0.0329865122633234
"Left-Caudate",0.267167203713388,0.0329695444168602
"Right-Cerebellum-Exterior",4.35280794338668,0.35799720262781
"Left-Cerebellum-Exterior",4.29649800797718,0.352701453167529
"Right-Cerebellum-White-Matter",0.933632334466845,0.118585044939665
"Left-Cerebellum-White-Matter",0.977846805948089,0.121190354767726
"Right-Cerebral-White-Matter",15.482108352531,1.21140817491279
"Left-Cerebral-White-Matter",15.2310270742753,1.25476503002717
"Right-Hippocampus",0.324228907899563,0.0320387344860265
"Left-Hippocampus",0.30727835840725,0.029744542990617
"Right-Pallidum",0.107932640384376,0.0128526652805422
"Left-Pallidum",0.122301573783502,0.0120666099804141
"Right-Putamen",0.346262658981908,0.0375118531638779
"Left-Putamen",0.357634189537324,0.0379300060792487
"Right-Thalamus-Proper",0.628555989017963,0.0366550805734026
"Left-Thalamus-Proper",0.626596530554737,0.0357195858523477
"Right-Ventral-DC",0.380046032722711,0.0257645673806413
"Left-Ventral-DC",0.410705487483382,0.0274384368591788
"Cerebellar-Vermal-Lobules-I-V",0.432319979576762,0.0482098854337773
"Cerebellar-Vermal-Lobules-VI-VII",0.226258387991265,0.032287529966031
"Cerebellar-Vermal-Lobules-VIII-X",0.246546530502544,0.030652856256936
"Left-Basal-Forebrain",0.0573660914463196,0.00591121063715629
"Right-Basal-Forebrain",0.0534731235005941,0.00611178574806162
"Right-ACgG--anterior-cingulate-gyrus",0.412652994392981,0.0635807583456837
"Left-ACgG--anterior-cingulate-gyrus",0.482656757243986,0.0699737555190765
"Right-AIns--anterior-insula",0.384404984505325,0.0340271318445663
"Left-AIns--anterior-insula",0.380366659881942,0.03360214218278
"Right-AOrG--anterior-orbital-gyrus",0.199961895723082,0.0296016260520937
"Left-AOrG--anterior-orbital-gyrus",0.196829385230456,0.0294708991512373
"Right-AnG---angular-gyrus",0.989420162824256,0.126852555825734
"Left-AnG---angular-gyrus",0.997623370120731,0.139837956387074
"Right-Calc--calcarine-cortex",0.337506614351745,0.0655512047692271
"Left-Calc--calcarine-cortex",0.350097748245795,0.0678537421096449
"Right-CO----central-operculum",0.381112103212883,0.0407532026668672
"Left-CO----central-operculum",0.408811842919238,0.0416850653149456
"Right-Cun---cuneus",0.514536672308395,0.0624599219972172
"Left-Cun---cuneus",0.470150761476992,0.0597925243249751
"Right-Ent---entorhinal-area",0.17374783840669,0.0243391172335926
"Left-Ent---entorhinal-area",0.17207895135169,0.0233367369778248
"Right-FO----frontal-operculum",0.166689298365023,0.026824153699073
"Left-FO----frontal-operculum",0.184974653261414,0.0312911083731529
"Right-FRP---frontal-pole",0.340236982391737,0.0609823291410211
"Left-FRP---frontal-pole",0.358482420424429,0.0572060106410583
"Right-FuG---fusiform-gyrus",0.699514391719396,0.0709387328057634
"Left-FuG---fusiform-gyrus",0.683334428989871,0.0702225116720167
"Right-GRe---gyrus-rectus",0.236512939477371,0.036838214041583
"Left-GRe---gyrus-rectus",0.174439364058241,0.0262933512330057
"Right-IOG---inferior-occipital-gyrus",0.613066810283325,0.081356744395144
"Left-IOG---inferior-occipital-gyrus",0.592355295061609,0.0735444878422316
"Right-ITG---inferior-temporal-gyrus",1.09499281398706,0.10049442333882
"Left-ITG---inferior-temporal-gyrus",1.13989269136853,0.110753936936534
"Right-LiG---lingual-gyrus",0.922758958498727,0.0933310504478837
"Left-LiG---lingual-gyrus",0.800150945358613,0.0886535644161812
"Right-LOrG--lateral-orbital-gyrus",0.185020278535575,0.0332600349947077
"Left-LOrG--lateral-orbital-gyrus",0.207191003134921,0.0372299800958521
"Right-MCgG--middle-cingulate-gyrus",0.504801270879399,0.0592996713073682
"Left-MCgG--middle-cingulate-gyrus",0.495827827974833,0.0588850115113247
"Right-MFC---medial-frontal-cortex",0.205393095313512,0.0315472716051392
"Left-MFC---medial-frontal-cortex",0.173224595337551,0.0264500464521428
"Right-MFG---middle-frontal-gyrus",1.89372482874308,0.205813930100206
"Left-MFG---middle-frontal-gyrus",1.83307670771208,0.196029038121279
"Right-MOG---middle-occipital-gyrus",0.53091148393464,0.0696438644315016
"Left-MOG---middle-occipital-gyrus",0.49882561616836,0.0749996725663439
"Right-MOrG--medial-orbital-gyrus",0.387235216344391,0.0441808767236813
"Left-MOrG--medial-orbital-gyrus",0.390003107851766,0.0456586536032416
"Right-MPoG--postcentral-gyrus",0.12092637989178,0.0254273657180492
"Left-MPoG--postcentral-gyrus",0.111355039657357,0.0244758222915344
"Right-MPrG--precentral-gyrus",0.267463770704288,0.0370357743013396
"Left-MPrG--precentral-gyrus",0.251999112462166,0.0336853810480775
"Right-MSFG--superior-frontal-gyrus",0.699302565078835,0.098817561178864
"Left-MSFG--superior-frontal-gyrus",0.609723981539383,0.0990424661216459
"Right-MTG---middle-temporal-gyrus",1.1949708845414,0.121265246418224
"Left-MTG---middle-temporal-gyrus",1.25625998830928,0.133093470123032
"Right-OCP---occipital-pole",0.269117912846104,0.0566561476400882
"Left-OCP---occipital-pole",0.236709658650804,0.0506993475486664
"Right-OFuG--occipital-fusiform-gyrus",0.353205933229459,0.0419728344201696
"Left-OFuG--occipital-fusiform-gyrus",0.384984466013126,0.0498792106034483
"Right-OpIFG-opercular-part-of-the-IFG",0.353615106144344,0.0562564573470016
"Left-OpIFG-opercular-part-of-the-IFG",0.325835014046057,0.0563981883476036
"Right-OrIFG-orbital-part-of-the-IFG",0.178802218264796,0.0296694315215242
"Left-OrIFG-orbital-part-of-the-IFG",0.173574119833797,0.0293334988778492
"Right-PCgG--posterior-cingulate-gyrus",0.394661632740524,0.0418875292636943
"Left-PCgG--posterior-cingulate-gyrus",0.419425808861296,0.0400703564455683
"Right-PCu---precuneus",1.02814750205514,0.0959292017816211
"Left-PCu---precuneus",1.02042125553785,0.0959949317467122
"Right-PHG---parahippocampal-gyrus",0.273021830452169,0.0296488219523969
"Left-PHG---parahippocampal-gyrus",0.305338556303493,0.0327728554689636
"Right-PIns--posterior-insula",0.211939067174694,0.0219984744788439
"Left-PIns--posterior-insula",0.215168351082738,0.0214783051956172
"Right-PO----parietal-operculum",0.232854213728091,0.0376720952173843
"Left-PO----parietal-operculum",0.25874751559368,0.0409780077254714
"Right-PoG---postcentral-gyrus",1.05955166087871,0.123279269479946
"Left-PoG---postcentral-gyrus",1.22080728048869,0.151111993044859
"Right-POrG--posterior-orbital-gyrus",0.28298064646675,0.0378237170333634
"Left-POrG--posterior-orbital-gyrus",0.281821765448096,0.0377837262390702
"Right-PP----planum-polare",0.189131829875036,0.0214587320110605
"Left-PP----planum-polare",0.193654619042497,0.0236216131385854
"Right-PrG---precentral-gyrus",1.25525059987007,0.128884336155161
"Left-PrG---precentral-gyrus",1.23849701573424,0.13015083183361
"Right-PT----planum-temporale",0.182952296105996,0.0301744813257701
"Left-PT----planum-temporale",0.206297075232628,0.0381158335220301
"Right-SCA---subcallosal-area",0.129916377665294,0.0325492460010364
"Left-SCA---subcallosal-area",0.136975696125121,0.035449427065398
"Right-SFG---superior-frontal-gyrus",1.32725396736041,0.150529551009849
"Left-SFG---superior-frontal-gyrus",1.40332214543864,0.158397070597585
"Right-SMC---supplementary-motor-cortex",0.460794371908773,0.0554548082455934
