"region","mean","std"
"Right-Accumbens-Area",419.155312920326,107.464743880948
"Left-Accumbens-Area",509.145291242901,118.158071763266
"Right-Amygdala",1052.73737995238,143.51529308343
"Left-Amygdala",1101.01573711024,156.441989561719
"Brain-Stem",18544.5925076656,2224.53207108703
"Right-Caudate",3331.62741990862,571.758612498731
"Left-Caudate",3330.37774841438,559.923225173643
"Right-Cerebellum-Exterior",54109.4974470801,6691.10456353885
"Left-Cerebellum-Exterior",53394.9145387807,6684.63749271031
"Right-Cerebellum-White-Matter",11570.6641435006,1750.40044357125
"Left-Cerebellum-White-Matter",12131.3461784118,1830.68949606488
"Right-Cerebral-White-Matter",192752.760293767,26669.4028780774
"Left-Cerebral-White-Matter",189624.111582408,26850.935619847
"Right-Hippocampus",4025.35611895593,487.872793665592
"Left-Hippocampus",3815.35258334227,462.582081038601
"Right-Pallidum",1337.85525824849,193.071513804894
"Left-Pallidum",1518.56663647021,199.907430173228
"Right-Putamen",4303.89911734302,644.032046067745
"Left-Putamen",4447.341336863,669.580460066485
"Right-Thalamus-Proper",7823.20084370274,941.658358027257
"Left-Thalamus-Proper",7795.84493654081,957.189969827057
"Right-Ventral-DC",4711.43813980696,532.627443604246
"Left-Ventral-DC",5092.83417872792,584.046394031462
"Cerebellar-Vermal-Lobules-I-V",5381.25057568619,806.756089897407
"Cerebellar-Vermal-Lobules-VI-VII",2824.68001175936,473.458344166646
"Cerebellar-Vermal-Lobules-VIII-X",3061.72008700034,431.325576227103
"Left-Basal-Forebrain",715.139973649539,109.081008580061
"Right-Basal-Forebrain",665.12716046125,108.455777600342
"Right-ACgG--anterior-cingulate-gyrus",5149.96943126699,1094.8760012022
"Left-ACgG--anterior-cingulate-gyrus",6030.48044855651,1241.36064339629
"Right-AIns--anterior-insula",4780.93266726896,660.122045586011
"Left-AIns--anterior-insula",4733.46647578144,678.332884023202
"Right-AOrG--anterior-orbital-gyrus",2492.93537938725,504.101002848606
"Left-AOrG--anterior-orbital-gyrus",2450.65403611259,491.723273094272
"Right-AnG---angular-gyrus",12343.3703047297,2282.77854185432
"Left-AnG---angular-gyrus",12442.6296707362,2286.02030922982
"Right-Calc--calcarine-cortex",4192.17380599386,903.475454100863
"Left-Calc--calcarine-cortex",4345.54539430086,940.764739748934
"Right-CO----central-operculum",4766.53220733222,860.888598469983
"Left-CO----central-operculum",5107.34846525377,844.040394631421
"Right-Cun---cuneus",6407.24601342567,1126.77871085645
"Left-Cun---cuneus",5853.82839168635,1059.66934687011
"Right-Ent---entorhinal-area",2155.99365155258,346.073129776711
"Left-Ent---entorhinal-area",2141.28966490112,348.770082457299
"Right-FO----frontal-operculum",2083.29362096347,452.644452574369
"Left-FO----frontal-operculum",2316.49699377566,532.368604342588
