"region","mean","std"
"Left-cerebral-white-matter",225614.228447368,26543.5918138913
"Left-cerebellum-white-matter",13853.6584239417,1767.07824216162
"Left-cerebellum-cortex",58210.4643054641,6337.39439367547
"Left-thalamus",6994.53626379387,961.771856495617
"Left-caudate",3752.66993481232,556.92433889041
"Left-putamen",5482.66128397007,739.386047791982
"Left-pallidum",1484.65765623769,251.286524448095
"Brain-stem",23242.8336763775,2359.2013445119
"Left-hippocampus",3979.29909429379,452.686411486377
"Left-amygdala",1751.77870000793,226.610097585454
"CSF",239472.658766773,45171.7857564998
"Left-accumbens-area",692.387866394001,119.529827303615
"Left-ventral-DC",4178.63196272507,490.592327280355
"Right-cerebral-white-matter",221926.877121878,26022.594812969
"Right-cerebellum-white-matter",13156.5949791458,1666.89333911795
"Right-cerebellum-cortex",56386.8531142005,6178.2823590369
"Right-thalamus",7275.49135873699,1015.68165124572
"Right-caudate",3972.45604743083,559.518423203294
"Right-putamen",5312.41092187787,752.743754007532
"Right-pallidum",1677.00872604936,233.873107076259
"Right-hippocampus",3857.25010590976,429.804867281511
"Right-amygdala",1884.81433224756,238.658285099638
"Right-accumbens-area",723.321071634137,138.836361319088
"Right-ventral-DC",4164.77607934963,487.859062895955
"ctx-lh-bankssts",2713.60647445625,610.057314191736
"ctx-lh-caudalanteriorcingulate",2267.5229440921,430.628429735976
"ctx-lh-caudalmiddlefrontal",6796.2325994695,1311.33196675195
"ctx-lh-cuneus",4216.41882615868,724.291009400747
"ctx-lh-entorhinal",2584.14520954049,361.683463785278
"ctx-lh-fusiform",13164.3506075013,1562.22569829501
"ctx-lh-inferiorparietal",14375.8549114246,2752.24191999122
"ctx-lh-inferiortemporal",12013.0437910047,1829.87788641339
"ctx-lh-isthmuscingulate",3015.15445497379,462.969655676048
"ctx-lh-lateraloccipital",14857.3282857595,2035.58105598988
"ctx-lh-lateralorbitofrontal",9025.96568549876,1010.63369864099
"ctx-lh-lingual",8060.98386755527,1270.577268
"ctx-lh-medialorbitofrontal",6354.66033160239,844.867342404053
"ctx-lh-middletemporal",13432.7588235294,2116.28319515155
"ctx-lh-parahippocampal",2249.46384475055,255.511514218956
"ctx-lh-paracentral",4452.02879588099,629.761001990705
"ctx-lh-parsopercularis",5248.66459051153,839.457016276192
"ctx-lh-parsorbitalis",2887.12231435611,449.654712082961
"ctx-lh-parstriangularis",4855.43392186922,984.468581870387
"ctx-lh-pericalcarine",1539.15720248878,559.9809260214
"ctx-lh-postcentral",11468.2183545979,1531.97949090121
"ctx-lh-posteriorcingulate",3806.10770123125,556.295463365156
"ctx-lh-precentral",13771.9302928494,1591.49860865717
"ctx-lh-precuneus",10566.2278327077,1569.10697863178
"ctx-lh-rostralanteriorcingulate",2756.23163662352,535.742399209607
"ctx-lh-rostralmiddlefrontal",17749.1364656196,3045.65944085884
"ctx-lh-superiorfrontal",23818.4068992758,3372.9339275515
"ctx-lh-superiorparietal",13473.7140590289,1859.5473776063
"ctx-lh-superiortemporal",12689.1221533184,1757.88050331199
"ctx-lh-supramarginal",12249.7922355737,2065.84380132312
"ctx-lh-frontalpole",1526.07340152777,249.892155168037
"ctx-lh-temporalpole",2985.5940641202,375.706886606074
"ctx-lh-transversetemporal",1332.10385184402,240.63490719915
"ctx-lh-insula",7781.83287656794,890.745670833963
"ctx-rh-bankssts",2218.65578375513,492.653623371818
"ctx-rh-caudalanteriorcingulate",2445.75580562117,463.911864141412
"ctx-rh-caudalmiddlefrontal",6572.57543859649,1298.05224819198
"ctx-rh-cuneus",4961.57719116907,829.156740387898
"ctx-rh-entorhinal",2059.47331890637,239.488011090883
"ctx-rh-fusiform",12200.1224554372,1437.74614404639
"ctx-rh-inferiorparietal",17259.6947109666,3418.04763824684
"ctx-rh-inferiortemporal",11382.8074384965,1797.79647880127
"ctx-rh-isthmuscingulate",2627.41596705211,369.583788154377
"ctx-rh-lateraloccipital",14702.6700105597,1954.62583529437
"ctx-rh-lateralorbitofrontal",8448.3451051812,1010.68631644409
"ctx-rh-lingual",6684.48593593329,937.675322653503
"ctx-rh-medialorbitofrontal",6494.93113819851,788.916590942248
"ctx-rh-middletemporal",13113.3375029626,2005.47573346899
"ctx-rh-parahippocampal",2160.21547326408,228.373794733794
"ctx-rh-paracentral",4702.86303219657,658.211754898599
"ctx-rh-parsopercularis",4685.82475100657,809.5341521171
"ctx-rh-parsorbitalis",3538.32697504371,537.112169026311
"ctx-rh-parstriangularis",4833.12196540964,979.313433473179
"ctx-rh-pericalcarine",2299.62453354506,510.906351472609
"ctx-rh-postcentral",10607.2486369171,1365.88189198494
"ctx-rh-posteriorcingulate",3681.3265182293,562.652297709018
"ctx-rh-precentral",14276.4693224775,1722.90982638202
"ctx-rh-precuneus",10545.564824837,1504.01012377408
"ctx-rh-rostralanteriorcingulate",2882.43815552495,548.277674527664
"ctx-rh-rostralmiddlefrontal",17117.0001582821,3193.60832273328
"ctx-rh-superiorfrontal",23514.7844838956,3354.59397011272
"ctx-rh-superiorparietal",14561.4807422877,1890.71908192333
"ctx-rh-superiortemporal",12493.0335673194,1465.59895387443
"ctx-rh-supramarginal",11405.1975707216,1848.05724985277
"ctx-rh-frontalpole",1645.70871941079,249.729832160704
"ctx-rh-temporalpole",3704.59715689901,476.71190637185
"ctx-rh-transversetemporal",1061.05676299658,206.659046264364
"ctx-rh-insula",7960.25361955748,846.96258739758
